,NTA_Unq_ID,ntacode,ntaname,pct_buildings_coolRoof,pct_Area_coolRoof,Heat_Vulnerability,pct_imp,pct_permeable,pct_trees,NTA_PCT_MRT_Less_Than_110,Relative_ST_Average,pct_tree_class,MRT_class,RelativeST_class,Permeable_class,cool_roof_class,Outdooor_Heat_Volnerability_Index
13,14,BK85,East New York (Pennsylvania Ave),55.90146182999459,55.79913736830377,5.0,79.49493123530644,5.689914750473089,13.430802938523009,0.271166530469297,18.007309148788472,5,4,4,3,1,3.4
14,15,BK41,Kensington-Ocean Parkway,44.55066921606119,55.092407333704486,3.0,76.74427113401923,3.702589331305567,18.7992956071588,0.371591793811963,16.219911434010744,3,2,3,5,2,3.0
15,16,BX46,Parkchester,44.54225352112676,43.29886199034144,4.0,64.92562197449652,6.876164864874654,27.41667037010896,0.485770521005344,16.70972088851044,1,1,3,3,3,2.2
16,17,BK95,Erasmus,55.3873553,64.71649458,5.0,84.44164826877835,3.165365227914473,12.22393877054682,0.283568636118749,16.872388875349287,5,4,3,5,1,3.6
17,18,QN33,Cambria Heights,9.24379361629104,13.2756277676075,4.0,60.84631388332854,19.92762921918973,19.023700234713143,0.276592597907899,19.74873120687156,3,4,5,1,5,3.6
18,19,BK91,East Flatbush-Farragut,34.84624096175625,46.841635130266525,5.0,78.76096459780989,4.854330866715799,16.07633345020564,0.306888400808293,18.974937754526746,4,3,5,4,2,3.6
19,20,BK46,Ocean Parkway South,25.80979528375227,35.969219197713294,3.0,65.98342970612934,13.86478477452992,18.71636065316373,0.315829204649316,18.17083881853189,3,3,5,2,4,3.4
20,21,BK93,Starrett City,48.96551724137931,40.149609090094685,3.0,45.033796831734136,31.06151991779794,23.701520620138787,0.316363467509249,12.97683101643496,2,3,1,1,3,2.0
21,22,BX35,Morrisania-Melrose,49.74823766364552,45.604235861725215,5.0,75.39786193264636,6.246392567269616,17.86677142822637,0.351158540074971,18.094383728851813,3,2,4,3,3,3.0
22,23,QN29,Elmhurst,40.59633027522936,45.99798174230283,3.0,78.98769706,4.124310375728182,15.394386256768708,0.313317120489396,18.625868808071854,4,3,5,4,3,3.8
23,24,MN22,East Village,53.25966850828729,45.28980064199373,3.0,76.90228658172119,1.8463517895622863,21.060835847218904,0.510312075759901,15.959695838100128,2,1,3,5,3,2.8
24,25,QN44,Glen Oaks-Floral Park-New Hyde Park,13.541927409261575,20.78550191184528,1.0,51.433607913248345,23.92371008,24.40874489943933,0.339346394392933,17.311122608771683,1,3,4,1,4,2.6
25,26,BX33,Longwood,56.59751037344398,53.449578827669605,5.0,80.14018976,5.650017886172385,13.186937692405168,0.285307308556477,18.42000502721139,5,4,5,3,2,3.8
26,27,MN32,Yorkville,44.17067307692308,33.43964325436331,1.0,76.03654271353383,1.9661764982265029,21.79580804918581,0.570066294244766,14.551361975889842,2,1,1,5,4,2.6
27,28,MN40,Upper East Side-Carnegie Hill,26.40532544378698,19.16943639119789,1.0,82.13798252836499,0.8998247872710547,16.76581971760568,0.583746995036057,14.666431874137514,4,1,2,5,5,3.4
28,29,BK40,Windsor Terrace,69.89944858903665,71.42952814406156,1.0,71.30506404828884,4.930351594194167,23.544514670152665,0.405485657360723,13.230800927427309,2,2,1,4,1,2.0
29,30,QN12,Hammels-Arverne-Edgemere,13.650343032883844,28.463314699260167,3.0,48.617247651546094,42.73887551316787,7.638139437629723,0.110684017533593,12.940208114068511,5,5,1,1,4,3.2
30,31,BX98,Rikers Island,42.487046632124354,72.89308971178141,,61.75894230719181,35.17598464739685,3.032140424103071,0.061497627282233,18.0787008542532,5,5,4,1,1,3.2
31,32,BX27,Hunts Point,49.103747963063554,47.47060630949726,5.0,82.39654114273263,7.694526929484789,6.234980243893494,0.120097996257556,20.56401503499936,5,5,5,3,2,4.0
32,33,QN28,Jackson Heights,50.42791936097375,56.06171218080348,2.0,74.84836999517755,5.850162431025866,18.748186179254304,0.349752656122229,16.963208918006234,3,2,4,3,1,2.6
33,34,BK27,Bath Beach,60.12874673104003,58.783659797339126,1.0,77.31128509479336,8.975236841890656,13.46856289524237,0.236964811950681,14.684130895597336,5,5,2,3,1,3.2
34,35,SI36,Old Town-Dongan Hills-South Beach,6.873090808108858,11.130206245598734,1.0,46.678040860245154,32.49678693382337,20.21517821833892,0.2474869122204,15.6087219010414,2,5,2,1,5,3.0
